id;Akteursbezeichnung;Follower;Marktwert;Alter;Berater;Spielzeit;Type;Nationalität
MN;Manuel Neuer;10100000;30000000;32;PRO Profil GmbH;270;1;1
MP;Marvin Plattenhardt;60800;17000000;26;Briem Soccer Connection;79;1;1
JH;Jonas Hector;0;15000000;28;act;165;1;1
MG;Matthias Ginter;334000;25000000;24;ISMG International;0;1;1
MH;Mats Hummels;2500000;60000000;29;HMH Sportmanagement;180;1;1
SK;Sami Khedira;0;15000000;28;act;165;1;1
JD;Julian Draxler;3500000;30000000;25;ROGON;135;1;2
TK;Toni Kroos;19000000;80000000;28;SportsTotal;270;1;2
TW;Timo Werner;441000;60000000;22;Karlheinz Foerster;266;1;1
MO;Mesut Oezil;17200000;45000000;29;Family and Football;180;1;2
MR;Marco Reus;6800000;40000000;29;SportsTotal;210;1;1
KT;Kevin Trapp;2500000;60000000;29;HMH Sportmanagement;180;1;1
TM;Thomas Mueller;19000000;80000000;28;SportsTotal;270;1;1
LG;Leon Goretzka;572000;40000000;23;Joerg Neubauer;63;1;1
NS;Niklas Suele;402000;45000000;23;Karlheinz Foerster;90;1;1
AR;Antonio Ruediger;823000;40000000;25;FSB Spielerberatung GmbH;90;1;2
JBR;Jerome Boateng;5700000;45000000;30;CN Sports;172;1;1
JK;Joshua Kimmich;1900000;55000000;23;fair sport GmbH;270;1;1
SR;Sebastian Rudy;302000;15000000;28;Familienangehoeriger Rudy;31;1;1
JB;Julian Brandt;361000;45000000;22;Familienangehoeriger Brandt;19;1;1
IG;Ilkay Guendogan;2200000;40000000;27;Family and Football;59;1;2
MS;Marc-Andre ter Stegen;7400000;60000000;26;Coaches and More GmbH;0;1;2
MGO;Mario Gomez;853000;6000000;33;fair sport GmbH;88;1;1
11_Teamsports;11 Teamsports;;;;;;2;
Adidas;Adidas;;;;;;2;
Aktion_Ehrenamt_Des_Dfb;Aktion Ehrenamt des DFB;;;;;;3;
Allianz;Allianz;;;;;;2;
Apple_Music;Apple Music;;;;;;2;
Barilla;Barilla;;;;;;2;
beko;Beko;;;;;;2;
BigShoe;BigShoe;;;;;;2;
Braun;Braun;;;;;;2;
Caseable;Caseable;;;;;;2;
City_in_the_Community_Foundation;City in the Community Foundation;;;;;;3;
Coca_Cola;Coca Cola;;;;;;2;
Common_Goal;Common Goal;;;;;;3;
Daimler;Daimler;;;;;;2;
Die_Wiege;Die Wiege;;;;;;3;
Disneys_Die_Monster_Uni;Disneys Die Monster Uni;;;;;;2;
DKMS;DKMS;;;;;;3;
Doppelherz;Doppelherz;;;;;;2;
EA_Sports_Fifa;EA Sports Fifa;;;;;;2;
Edel_Optics;Edel Optics;;;;;;2;
EHFK;EHFK;;;;;;2;
Elterninitiative_Saarland;Elterninitiative Saarland;;;;;;3;
ELTERNTREFF_Dortmund;Elterntreff Dortmund;;;;;;3;
FC_Schalke_04;FC Schalke 04;;;;;;2;
Ferrero;Ferrero;;;;;;2;
Fight_for_Finn;Fight for Finn ;;;;;;3;
FOX;Fox;;;;;;2;
Gazi;Gazi;;;;;;2;
Gemeinde_Dietingen;Gemeinde Dientingen;;;;;;3;
Gilette;Gilette;;;;;;2;
Head_and_Shoulders;Head and Shoulders;;;;;;2;
Hugo_Boss;Hugo Boss;;;;;;2;
Initiative_der_Kinder-_und_Jugendklinik_Freiburg e.V;Initiative Kinder- und Jugendklinik Freiburg;;;;;;3;
Jamie_Jacobs;Jamie Jacobs;;;;;;2;
JBL;JBL;;;;;;2;
Jd_Marketing_GmbH;Jd Marketing;;;;;;2;
Jugendhilfe_Jona;Jugendhilfe Jona;;;;;;3;
kaliber5_SPORTS;Kaliber5 Sports;;;;;;2;
KiO_Kinderhilfe_Organtransplantation;KiO;;;;;;3;
KT01_Kollektion;KT01 Kolletion;;;;;;2;
Kumpelkiste;Kumpelkiste;;;;;;3;
Laureus_Sport_for_Good;Laureus Sport for Good;;;;;;3;
Lavia_Trauergruppe;Lavia Trauergruppe;;;;;;3;
Lays;Lays;;;;;;2;
Living_a_Dream;Living a Dream;;;;;;3;
Manuel_Neuer_Kids_Foundation;Manuel Neuer Kids Foundation;;;;;;3;
Matthias-Ginter-Stiftung;Matthias Ginter Stiftung;;;;;;3;
McDavid_Football;McDavid Foodball;;;;;;2;
McDonalds;McDonalds;;;;;;2;
Mein_Klub_Meine_Hilfe;Mein Klub Meine Hilfe;;;;;;3;
Mercedes_amg;Mercedes AMG;;;;;;2;
