From;To;Weight;Relationship;Tape
Hannah;Jess;4;1;5A
Hannah;Clay;5;1;5A
Hannah;Justin;1;2;5A
Jess;Hannah;4;1;5A
Clay;Hannah;5;1;5A
Justin;Hannah;1;2;5A
Hannah;Sheri;3;1;5B
Sheri;Hannah;3;1;5B
Clay;Sheri;2;2;5B
Sheri;Clay;2;2;5B
Clay;Tony;4;1;5B
Tony;Clay;4;1;5B
Jess;Bryce;3;1;6A
Bryce;Jess;3;1;6A
Justin;Bryce;1;2;6A
Bryce;Justin;1;2;6A
Jess;Justin;4;1;6A
Justin;Jess;4;1;6A
Hannah;Mr.Porter;2;1;7A
Mr.Porter;Hannah;3;1;7A
Clay;Mr.Porter;1;2;7A
Mr.Porter;Clay;3;1;7A
Clay;Skye;4;1;7A
Skye;Clay;4;1;7A
